GVKEY,IBES Ticker,Duplicates
23799,APHT,0
1537,API,0
23616,API1,0
23423,APIC,0
157353,APIN,0
175111,APKT,0
1058,APL,0
23977,APLE,0
120714,APLN,0
28782,APLS,0
31144,APLX,0
1703,APM,0
61550,APMC,0
66391,APN,0
148170,APNB,0
176593,APNI,0
121453,APNT,0
28898,APOD,0
1686,APOG,0
164099,APOI,0
31122,APOL,0
184254,APOO,0
297510,APOP,0
13786,APOS,0
138602,APOT,0
1680,APP,0
29704,APP1,0
1697,APP9,0
16665,APPB,0
24071,APPF,0
14245,APPL,0
65803,APPM,0
31847,APPS,0
145512,APPX,0
26800,APQ1,0
1542,APR,0
107414,APRN,0
130398,APRS,0
1543,APS,0
141158,APSA,0
27997,APSG,0
24400,APSI,0
24675,APSO,0
15142,APT,0
137371,APTA,0
62697,APTI,0
15490,APTO,0
185345,APTS,0
24217,APTV,0
33643,APTX,0
61839,APU,0
162833,APV1,0
27338,APVO,0
137960,APW,0
66450,APW1,0
164703,APWH,0
1706,APWR,0
1614,APX,0
33326,APYWI,0
32524,AQ,0
170875,AQAQ,0
1544,AQAS,0
275862,AQB,0
1711,AQC,0
2646,AQLA,0
24422,AQMS,0
1718,AQNT,0
29044,AQP,0
166303,AQRK,0
33743,AQST,0
1151,AQTN,0
32610,AQUA,0
30661,AQUX,0
19717,AQXP,0
1789,AR,0
25305,ARA1,0
13169,ARAI,0
25144,ARAM,0
30698,ARAN,0
18465,ARAR,0
1771,ARAY,0
1545,ARB,0
121493,ARBA,0
25630,ARBH,0
15504,ARBL,0
12682,ARBR,0
160173,ARBT,0
160867,ARBX,0
1848,ARC,0
125596,ARCC,0
186785,ARCD,0
1201,ARCE,0
1721,ARCH,0
24660,ARCI,0
183554,ARCL,0
156953,ARCO,0
161966,ARCP,0
60797,ARCS,0
185953,ARCT,0
18866,ARCX,0
142945,ARD,0
140061,ARDI,0
63081,ARDM,0
33855,ARDS,0
20645,ARDX,0
1749,ARE,0
64821,ARE1,0
61791,AREA,0
13370,AREL,0
119533,AREM,0
178798,AREX,0
101475,ARFC,0
184639,ARFX,0
1734,ARGI,0
61441,ARGL,0
28408,ARGN,0
25523,ARGS,0
24749,ARGX,0
